gene,BACKGROUND
A1BG,88
A1CF,56
A2ML1,41
A2M,533
A3GALT2,6
A4GALT,45
A4GNT,9
AAAS,3853
AACS,215
AADACL2,3
AADACL3,2
AADACL4,1
AADAC,52
AADAT,22
AAED1,3
AAGAB,26
AAK1,72
AAMDC,2
AAMP,110
AANAT,356
AAR2,15
AARD,103
AARS2,43
AARSD1,8
AARS,694
AASDH,9
AASDHPPT,4
AASS,530
AATF,117
AATK,37
ABAT,230
ABCA10,13
ABCA12,173
ABCA13,37
ABCA1,3812
ABCA2,110
ABCA3,354
ABCA4,829
ABCA5,43
ABCA6,28
ABCA7,262
ABCA8,44
ABCA9,22
ABCB10,69
ABCB11,793
ABCB1,6062
ABCB4,457
ABCB5,204
ABCB6,135
ABCB8,28
ABCB9,54
ABCC10,116
ABCC11,158
ABCC12,22
ABCC1,1046
ABCC2,1371
ABCC3,352
ABCC4,705
ABCC5,281
ABCC6,492
ABCC8,1061
ABCC9,344
ABCD2,311
ABCD3,191
ABCD4,46
ABCE1,152
ABCF1,48
ABCF2,34
ABCF3,13
ABCG1,1296
ABCG2,4983
ABCG4,92
ABCG5,759
ABCG8,639
ABHD10,9
ABHD11,35
ABHD12B,4
ABHD12,60
ABHD13,0
ABHD14A-ACY1,0
ABHD14A,4
ABHD14B,5
ABHD15,5
ABHD16A,9
ABHD16B,2
ABHD17A,7
ABHD17B,2
ABHD17C,4
ABHD1,7
ABHD2,34
ABHD3,8
ABHD4,13
ABHD5,215
ABHD6,100
ABHD8,4
ABI1,497
ABI2,248
ABI3BP,29
ABI3,446
ABL1,2613
ABL2,160
ABLIM1,29
ABLIM2,10
ABLIM3,11
ABRACL,3
ABRA,226
ABR,7342
ABT1,18
ABTB1,32
ABTB2,6
AC000003.2,0
AC002310.13,0
AC002398.9,0
AC002451.1,0
AC002472.13,0
AC002472.1,0
AC002553.1,0
AC002985.3,0
AC003002.4,0
AC003002.6,0
AC003005.4,0
AC003006.7,0
AC003043.1,0
AC003101.1,0
AC003102.1,0
AC004017.1,0
AC004076.7,0
AC004076.9,0
AC004381.6,0
AC004466.1,0
AC004528.1,0
AC004817.1,0
AC004824.2,0
AC004899.1,0
AC005003.1,0
AC005008.2,0
AC005082.1,0
AC005358.1,0
AC005477.1,0
AC005481.5,0
AC005488.1,0
AC005493.1,0
AC005544.1,0
AC005549.3,0
AC005606.1,0
AC005609.1,0
AC005779.2,0
AC005841.1,0
AC006014.1,0
AC006116.20,0
AC006126.3,0
AC006372.1,0
AC006435.1,0
AC006449.1,1
AC006455.1,0
AC006486.1,0
AC006486.9,0
AC006538.4,0
AC006547.14,0
AC006946.15,0
AC006967.1,0
AC007040.11,0
AC007204.1,0
AC007216.2,0
AC007375.1,0
AC007377.1,0
AC007382.1,0
AC007401.2,0
AC007421.1,0
AC007461.1,0
AC007557.1,0
AC007773.3,0
AC007919.2,0
AC007952.1,0
AC007952.5,0
AC007952.6,0
AC007956.1,0
AC008060.7,0
AC008132.13,0
AC008132.1,0
AC008267.1,0
AC008271.1,0
AC008372.1,0
AC008387.1,0
AC008394.1,0
AC008443.1,0
AC008498.1,0
AC008686.1,0
AC008914.1,0
AC008948.1,0
AC008964.1,0
AC009041.2,0
AC009060.1,0
AC009065.1,0
AC009365.3,0
AC009403.2,0
AC009802.1,0
AC009892.10,0
AC010327.2,0
AC010336.1,0
AC010368.2,0
AC010441.1,0
AC010536.1,0
AC010547.9,0
AC010642.1,0
AC010646.3,0
AC010760.1,0
AC011239.1,0
AC011294.3,0
AC011298.1,1
AC011308.1,0
AC011366.3,0
AC011475.1,0
AC011484.1,0
AC011500.1,0
AC011530.4,0
AC011551.3,0
AC011755.1,0
AC011897.1,0
AC011997.1,0
AC012123.1,0
AC012215.1,0
AC012313.1,0
AC012360.1,0
AC012360.2,0
AC012414.1,0
AC012485.1,0
AC012493.2,0
AC013269.5,0
AC013449.1,0
AC013468.1,0
AC013469.1,0
AC015660.1,0
AC015688.3,0
AC015987.2,0
AC015989.1,0
AC015989.2,0
AC016251.1,0
AC016559.1,0
AC016586.1,0
AC016745.1,0
AC016757.3,0
AC016885.1,0
AC017028.1,0
AC017081.1,0
AC017104.2,0
AC018445.1,0
AC018470.1,0
AC018512.1,0
AC018630.1,0
AC018755.1,0
AC018816.3,0
AC018867.1,0
AC018867.2,0
AC019171.1,0
AC019206.1,0
AC019294.1,0
AC020629.1,0
AC020907.1,0
AC020922.1,0
AC020952.1,0
AC021218.2,1
AC021860.1,0
AC022210.1,0
AC022400.2,0
AC022431.2,0
AC022498.1,0
AC022532.1,0
AC022819.2,0
AC023469.1,0
AC023590.1,0
AC023632.1,0
AC024257.1,0
AC024580.1,0
AC024592.12,0
AC024940.1,0
AC025262.1,0
AC025263.3,0
AC025278.1,0
AC025287.1,0
AC026202.1,0
AC026310.1,0
AC026369.1,0
AC026407.1,0
AC026461.1,0
AC026703.1,0
AC026740.1,0
AC027228.1,0
AC027307.3,0
AC027309.1,0
AC027763.2,0
AC037199.1,0
AC037459.4,0
AC040160.1,0
AC040977.1,0
AC051642.1,0
AC055736.1,0
AC061975.10,0
AC061992.1,1
AC062017.1,0
AC064874.1,0
AC068039.1,0
AC068533.7,0
AC068620.1,0
AC068987.1,0
AC069368.3,0
AC069547.1,0
AC069547.2,0
AC073063.1,0
AC073188.1,0
AC073333.1,0
AC073342.1,0
AC073343.1,0
AC073528.1,0
AC073569.1,0
AC073610.5,0
AC073657.1,0
AC074091.13,0
AC074212.3,1
AC074389.6,0
AC078925.1,0
AC079210.1,0
AC079341.1,1
AC079354.1,0
AC079354.2,0
AC079602.1,0
AC079612.1,1
AC083862.1,0
AC087239.1,0
AC087477.1,0
AC087645.1,0
AC090186.1,0
AC090427.1,0
AC090574.1,0
AC090616.2,0
AC090673.2,0
AC091150.1,0
AC091801.1,0
AC091948.1,0
AC092291.2,0
AC092384.1,0
AC092675.3,0
AC092687.4,0
AC092782.1,0
AC092811.1,0
AC092850.1,0
AC092964.1,0
AC092964.2,0
AC093157.1,0
AC093323.1,0
AC093677.1,0
AC093802.1,0
AC096582.1,0
AC096644.1,0
AC096677.1,0
AC097381.1,0
AC099344.1,0
AC099552.4,1
AC102948.2,0
AC103801.2,0
AC103809.2,0
AC104057.1,0
AC104472.1,1
AC104532.2,0
AC104534.3,0
AC104667.3,0
AC104794.4,0
AC104809.3,0
AC104841.2,0
AC105020.1,0
AC106017.1,0
AC106873.4,0
AC106876.2,0
AC107021.1,0
AC108868.1,0
AC109583.1,0
AC109829.1,0
AC110084.1,0
AC110615.1,0
AC110619.2,0
AC110771.1,0
AC110781.3,0
AC110792.1,0
AC111200.1,0
AC112205.1,0
AC112693.2,0
AC112715.2,0
AC112721.1,4
AC114494.1,0
AC114546.1,0
AC114783.1,0
AC116407.2,0
AC117395.1,0
AC117834.1,0
AC119673.1,0
AC120194.1,0
AC121757.1,0
AC124890.1,0
AC126614.1,0
AC127496.1,0
AC129492.6,1
AC131097.4,0
AC131935.1,0
AC131971.1,0
AC132186.1,0
AC132192.1,0
AC132216.1,0
AC132872.2,0
AC135048.1,0
AC135178.1,1
AC135983.2,0
AC136297.1,0
AC136604.1,0
AC137056.1,0
AC137932.1,0
AC138393.1,0
AC138517.1,0
AC138647.1,0
AC138655.1,0
AC139100.2,0
AC139426.2,0
AC139768.1,0
AC140061.12,0
AC140481.2,0
AC142381.1,0
AC144568.2,0
AC145676.2,0
AC174470.1,0
AC187652.1,0
AC226150.4,0
ACAA1,41
ACAA2,61
ACACA,385
ACACB,177
ACAD10,21
ACAD11,10
ACAD8,21
ACAD9,53
ACADL,86
ACADM,147
ACADSB,25
ACADS,117
ACADVL,319
ACAN,1066
ACAP1,40
ACAP2,26
ACAP3,6
ACAT1,400
ACAT2,222
ACBD3,66
ACBD4,6
ACBD5,21
ACBD6,10
ACBD7,4
ACCSL,2
ACCS,792
ACD,5580
ACE,36161
ACER1,23
ACER2,39
ACER3,21
ACHE,866206
ACIN1,39
ACKR2,66
ACKR3,487
ACKR4,53
ACLY,280
ACMSD,68
ACN9,14
ACO1,230
ACO2,326
ACOT11,12
ACOT12,10
ACOT13,31
ACOT1,48
ACOT2,40
ACOT4,15
ACOT6,2
ACOT7,37
ACOT8,20
ACOX1,291
ACOX2,45
ACOX3,27
ACOXL,13
ACP1,432
